"date_time","price","quantity","symbol"
"Tue, 04 Jul 2017 15:29:59 GMT",1422.660975,1,"RELIANCE"
"Tue, 11 Jul 2017 15:29:59 GMT",734.8324,-3,"DIVISLAB"
"Tue, 11 Jul 2017 15:29:59 GMT",1419.9096,1,"BAJFINANCE"
"Tue, 18 Jul 2017 15:29:59 GMT",735.3675,1,"DIVISLAB"
"Tue, 18 Jul 2017 15:29:59 GMT",1511.593825,-1,"BAJFINANCE"
"Tue, 18 Jul 2017 15:29:59 GMT",1684.391775,1,"HDFCBANK"
"Tue, 25 Jul 2017 15:29:59 GMT",675.83775,5,"DIVISLAB"
"Tue, 25 Jul 2017 15:29:59 GMT",1601.348925,-1,"RELIANCE"
"Tue, 25 Jul 2017 15:29:59 GMT",1626.68625,-1,"BAJFINANCE"
"Tue, 01 Aug 2017 15:29:59 GMT",668.083875,3,"DIVISLAB"
"Tue, 01 Aug 2017 15:29:59 GMT",1715.391875,-1,"BAJFINANCE"
"Tue, 08 Aug 2017 15:29:59 GMT",673.36315,-71,"DIVISLAB"
"Tue, 08 Aug 2017 15:29:59 GMT",1778.9101,-1,"BAJFINANCE"
"Tue, 29 Aug 2017 15:29:59 GMT",687.793725,70,"DIVISLAB"
"Tue, 29 Aug 2017 15:29:59 GMT",1532.916075,1,"RELIANCE"
"Tue, 29 Aug 2017 15:29:59 GMT",1772.5133,-1,"BAJFINANCE"
"Tue, 05 Sep 2017 15:29:59 GMT",1756.227675,1,"HDFCBANK"
"Tue, 19 Sep 2017 15:29:59 GMT",862.818375,-5,"DIVISLAB"
"Tue, 19 Sep 2017 15:29:59 GMT",839.0193,1,"RELIANCE"
"Tue, 19 Sep 2017 15:29:59 GMT",1912.7559,1,"BAJFINANCE"
"Tue, 26 Sep 2017 15:29:59 GMT",1841.02005,2,"BAJFINANCE"
"Tue, 26 Sep 2017 15:29:59 GMT",959.669925,-8,"DIVISLAB"
"Tue, 26 Sep 2017 15:29:59 GMT",820.51005,2,"RELIANCE"
"Tue, 26 Sep 2017 15:29:59 GMT",1793.19615,1,"HDFCBANK"
"Tue, 03 Oct 2017 15:29:59 GMT",856.0278,4,"DIVISLAB"
"Tue, 03 Oct 2017 15:29:59 GMT",797.950825,-65,"RELIANCE"
"Tue, 03 Oct 2017 15:29:59 GMT",1866.8661,-1,"BAJFINANCE"
"Tue, 10 Oct 2017 15:29:59 GMT",843.6216,64,"RELIANCE"
"Tue, 10 Oct 2017 15:29:59 GMT",1949.8246,-1,"BAJFINANCE"
"Tue, 17 Oct 2017 15:29:59 GMT",873.912825,-2,"RELIANCE"
"Tue, 24 Oct 2017 15:29:59 GMT",869.315125,-61,"DIVISLAB"
"Tue, 24 Oct 2017 15:29:59 GMT",933.782875,-3,"RELIANCE"
"Tue, 24 Oct 2017 15:29:59 GMT",1826.963025,1,"BAJFINANCE"
"Tue, 31 Oct 2017 15:29:59 GMT",882.94125,62,"DIVISLAB"
"Tue, 31 Oct 2017 15:29:59 GMT",940.379575,-1,"RELIANCE"
"Tue, 31 Oct 2017 15:29:59 GMT",1801.5003,1,"BAJFINANCE"
"Tue, 07 Nov 2017 15:29:59 GMT",1801.648725,-30,"BAJFINANCE"
"Tue, 07 Nov 2017 15:29:59 GMT",1016.4915,-7,"DIVISLAB"
"Tue, 07 Nov 2017 15:29:59 GMT",907.15335,2,"RELIANCE"
"Tue, 07 Nov 2017 15:29:59 GMT",1824.61185,2,"HDFCBANK"
"Tue, 14 Nov 2017 15:29:59 GMT",887.14335,2,"RELIANCE"
"Tue, 14 Nov 2017 15:29:59 GMT",1801.448825,-31,"HDFCBANK"
"Tue, 21 Nov 2017 15:29:59 GMT",1041.628925,-1,"DIVISLAB"
"Tue, 21 Nov 2017 15:29:59 GMT",1810.654875,31,"BAJFINANCE"
"Tue, 21 Nov 2017 15:29:59 GMT",1847.173125,30,"HDFCBANK"
"Tue, 28 Nov 2017 15:29:59 GMT",942.878325,-2,"RELIANCE"
"Tue, 05 Dec 2017 15:29:59 GMT",1023.138175,-1,"DIVISLAB"
"Tue, 05 Dec 2017 15:29:59 GMT",913.24315,-60,"RELIANCE"
"Tue, 05 Dec 2017 15:29:59 GMT",1706.5463,-31,"BAJFINANCE"
"Tue, 12 Dec 2017 15:29:59 GMT",916.0578,60,"RELIANCE"
"Tue, 12 Dec 2017 15:29:59 GMT",1700.099625,32,"BAJFINANCE"
