,date,open,high,low,close,volume
45,2017-06-27,990.69,998.8,976.0,976.78,3782389
46,2017-06-28,978.55,990.68,969.21,990.33,3737567
47,2017-06-29,979.0,987.56,965.25,975.93,4302968
48,2017-06-30,980.12,983.47,967.61,968.0,3390345
49,2017-07-05,961.53,975.0,955.25,971.4,3652955
50,2017-07-06,964.66,974.4,959.02,965.14,3259613
51,2017-07-07,969.55,980.11,969.14,978.76,2643387
52,2017-07-10,985.0,999.4392,983.5,996.47,3546268
53,2017-07-11,993.0,995.99,983.72,994.13,2982726
54,2017-07-12,1000.65,1008.55,998.1,1006.51,3608574
55,2017-07-13,1004.62,1006.88,995.9,1000.63,2880769
56,2017-07-14,1002.4,1004.45,996.89,1001.81,2102469
57,2017-07-17,1004.69,1014.75,1003.81,1010.04,3712587
58,2017-07-18,1006.0,1026.03,1004.0,1024.45,4007624
59,2017-07-19,1025.0,1031.59,1022.5,1026.87,2963964
60,2017-07-20,1031.59,1034.97,1022.515,1028.7,3097487
61,2017-07-21,1021.28,1026.1,1011.0,1025.67,2734577
62,2017-07-24,1028.34,1043.01,1027.4279,1038.95,3288020
63,2017-07-25,1038.05,1043.3346,1032.48,1039.87,2447629
64,2017-07-26,1043.2,1053.2,1043.2,1052.8,2921253
65,2017-07-27,1069.55,1083.31,1040.18,1046.0,10991715
66,2017-07-28,1012.14,1032.85,1001.0,1020.04,7709420
67,2017-07-31,1019.05,1019.05,987.02,987.78,7352063
68,2017-08-01,996.11,1006.4,991.58,996.19,4572576
69,2017-08-02,1001.77,1003.21,981.73,995.89,4069993
70,2017-08-03,999.47,999.5,984.59,986.92,3255764
71,2017-08-04,989.68,991.672,982.0,987.58,2730308
72,2017-08-07,990.65,995.0,987.14,992.27,2676607
73,2017-08-08,994.35,996.28,985.79,989.84,2902815
74,2017-08-09,982.6,988.0,975.27,982.01,3569731
75,2017-08-10,976.295,979.86,954.68,956.92,5684068
76,2017-08-11,960.0,970.39,951.38,967.99,3468017
77,2017-08-14,978.41,985.5,976.19,983.3,3172892
78,2017-08-15,988.9,991.74,982.0,982.74,2549295
79,2017-08-16,981.65,986.4605,973.22,978.18,3132066
80,2017-08-17,977.84,977.84,960.32,960.57,3512397
81,2017-08-18,961.4,965.43,954.65,958.47,3284821
82,2017-08-21,957.57,961.2,945.46,953.29,3164483
83,2017-08-22,955.52,967.93,955.495,966.9,2749970
84,2017-08-23,959.38,962.0,954.2,958.0,2668264
85,2017-08-24,957.42,959.0,941.14,952.45,5195726
86,2017-08-25,956.0,957.6210000000001,944.1,945.26,3324791
87,2017-08-28,946.54,953.0,942.25,946.02,2596737
88,2017-08-29,940.0,956.0,936.33,954.06,2874299
89,2017-08-30,958.44,969.41,956.9062,967.59,2904604
90,2017-08-31,974.7,981.0,972.76,980.6,3331488
91,2017-09-01,984.2,984.5,976.875,978.25,2535917
92,2017-09-05,975.4,976.7699,960.37,965.27,2998649
93,2017-09-06,968.32,971.84,960.6,967.8,2129861
94,2017-09-07,974.0,980.59,972.55,979.47,2566794
95,2017-09-08,979.1,979.88,963.47,965.9,2605322
96,2017-09-11,974.46,981.94,974.22,977.96,2186666
97,2017-09-12,983.27,984.6718,975.5169999999999,982.58,2475557
98,2017-09-13,983.97,1000.0,979.42,999.6,3358558
99,2017-09-14,996.8,998.56,987.74,992.21,3798894
100,2017-09-15,993.01,996.25,984.03,986.79,3741004
101,2017-09-18,990.4,992.7922,968.17,974.19,3398564
102,2017-09-19,977.25,978.24,967.46,969.86,2629614
103,2017-09-20,971.79,974.81,962.1626,973.21,2752002
104,2017-09-21,971.31,971.7,962.02,964.65,2275166
105,2017-09-22,961.01,965.61,954.42,955.1,2641787
106,2017-09-25,949.31,949.42,932.89,939.79,5123997
107,2017-09-26,945.49,948.63,931.75,938.6,3564848
108,2017-09-27,948.0,955.3,943.3,950.87,3148933
109,2017-09-28,951.86,959.7,950.1010000000001,956.4,2522567
110,2017-09-29,960.11,964.83,958.375,961.35,2543759
111,2017-10-02,964.0,967.305,952.1201,959.19,2442937
112,2017-10-03,958.0,963.69,950.37,957.1,2666574
113,2017-10-04,954.21,967.79,954.05,965.45,2527352
114,2017-10-05,970.0,981.51,969.64,980.85,3229224
115,2017-10-06,975.64,995.75,975.64,989.58,3782067
116,2017-10-09,993.24,998.5,987.5,990.99,2938586
117,2017-10-10,996.67,997.95,980.0989999999999,987.2,3084921
118,2017-10-11,991.27,995.5,986.695,995.0,2337113
119,2017-10-12,996.81,1008.44,992.4,1000.93,4067317
120,2017-10-13,1007.0,1007.77,1001.03,1002.94,2431462
121,2017-10-16,1008.44,1009.5717,1001.04,1006.34,2008908
122,2017-10-17,1005.59,1011.4699,1004.38,1009.13,2319742
123,2017-10-18,1009.27,1022.31,996.55,997.0,2499681
124,2017-10-19,990.0,991.05,980.24,986.61,3108197
125,2017-10-20,993.53,994.62,982.0,982.91,2365122
126,2017-10-23,986.73,986.775,962.5,966.3,3494100
127,2017-10-24,969.0,979.85,965.0,975.9,2723935
128,2017-10-25,978.0,984.44,966.24,972.91,3033113
129,2017-10-26,980.33,982.9,968.55,972.43,5618675
130,2017-10-27,1058.14,1105.58,1050.55,1100.95,16565021
131,2017-10-30,1095.01,1122.79,1093.56,1110.85,6613064
132,2017-10-31,1109.0,1110.54,1101.1201,1105.28,3476967
133,2017-11-01,1105.4,1108.97,1096.74,1103.68,3755511
134,2017-11-02,1097.81,1101.935,1086.8691,1094.22,3684876
135,2017-11-03,1091.15,1112.68,1088.52,1111.6,3751480
136,2017-11-06,1109.15,1125.41,1108.77,1120.66,3381138
137,2017-11-07,1124.74,1130.6,1117.5,1123.17,2688977
138,2017-11-08,1122.82,1135.54,1119.11,1132.88,2581451
139,2017-11-09,1125.96,1129.6209,1115.77,1129.13,3732732
140,2017-11-10,1126.1,1131.75,1124.06,1125.35,2179937
141,2017-11-13,1123.0,1139.9,1122.34,1129.17,2918439
142,2017-11-14,1130.11,1138.0,1123.89,1136.84,3138423
143,2017-11-15,1127.01,1131.75,1121.63,1126.69,3928680
144,2017-11-16,1130.16,1138.16,1130.05,1137.29,2213322
145,2017-11-17,1138.28,1138.8,1125.8101,1129.88,2413388
146,2017-11-20,1129.77,1133.42,1122.55,1126.31,2163855
147,2017-11-21,1132.86,1140.0,1128.2,1139.49,2479397
148,2017-11-22,1141.0,1160.27,1141.0,1156.16,3555273
149,2017-11-24,1160.7,1186.84,1160.7,1186.0,3528011
150,2017-11-27,1202.66,1213.41,1191.15,1195.83,6744045
151,2017-11-28,1204.88,1205.34,1188.521,1193.6,4559449
152,2017-11-29,1194.8,1194.8,1145.19,1161.27,9257512
153,2017-11-30,1167.1,1178.5701,1160.0,1176.75,4509208
154,2017-12-01,1172.05,1179.65,1152.0,1162.35,4107094
155,2017-12-04,1173.85,1175.2,1128.0,1133.95,5931915
156,2017-12-05,1128.26,1159.27,1124.74,1141.57,4079774
157,2017-12-06,1137.99,1155.89,1136.08,1152.35,2853316
158,2017-12-07,1156.59,1163.19,1151.0,1159.79,2511569
159,2017-12-08,1170.4,1172.79,1157.1,1162.0,3050074
160,2017-12-11,1164.6,1169.9,1157.0,1168.92,2363473
161,2017-12-12,1166.51,1173.6,1161.61,1165.08,2235892
162,2017-12-13,1170.0,1170.87,1160.27,1164.13,2616760
163,2017-12-14,1163.71,1177.93,1162.45,1174.26,3214337
164,2017-12-15,1179.03,1182.75,1169.33,1179.14,4778621
165,2017-12-18,1187.37,1194.78,1180.91,1190.58,2947625
166,2017-12-19,1189.15,1192.97,1179.1401,1187.38,2587792
167,2017-12-20,1190.5,1191.0,1176.0,1177.62,2371166
168,2017-12-21,1175.9,1179.17,1167.64,1174.76,2123117
169,2017-12-22,1172.08,1174.6199,1167.8301,1168.36,1585054
170,2017-12-26,1168.36,1178.32,1160.55,1176.76,2005187
171,2017-12-27,1179.91,1187.29,1175.61,1182.26,1867208
172,2017-12-28,1189.0,1190.1,1184.38,1186.1,1841676
173,2017-12-29,1182.35,1184.0,1167.5,1169.47,2688391
174,2018-01-02,1172.0,1190.0,1170.51,1189.01,2694494
175,2018-01-03,1188.3,1205.49,1188.3,1204.2,3108793
176,2018-01-04,1205.0,1215.8699,1204.66,1209.59,3022089
177,2018-01-05,1217.51,1229.14,1210.0,1229.14,3544743
178,2018-01-08,1236.0,1253.079,1232.03,1246.87,4279475
179,2018-01-09,1256.9,1259.33,1241.76,1252.7,3661316
180,2018-01-10,1245.15,1254.33,1237.23,1254.33,2686017
181,2018-01-11,1259.74,1276.77,1256.46,1276.68,3125048
182,2018-01-12,1273.3925,1305.76,1273.3925,1305.2,5443730
183,2018-01-16,1323.0,1339.94,1292.3,1304.86,7220701
184,2018-01-17,1312.24,1314.0,1280.88,1295.0,5253754
185,2018-01-18,1293.95,1304.6,1284.02,1293.32,4026915
186,2018-01-19,1312.0,1313.0,1292.99,1294.58,4578536
187,2018-01-22,1297.17,1327.45,1296.6636,1327.31,4140061
188,2018-01-23,1338.09,1364.9,1337.34,1362.54,5169306
189,2018-01-24,1374.82,1388.16,1338.0,1357.51,6807457
190,2018-01-25,1368.0,1378.34,1357.62,1377.95,4753012
191,2018-01-26,1392.01,1402.53,1380.91,1402.05,4857310
192,2018-01-29,1409.18,1431.39,1400.44,1417.68,5701898
193,2018-01-30,1403.17,1439.25,1392.0,1437.82,5871942
194,2018-01-31,1451.3,1472.58,1450.04,1450.89,6424693
195,2018-02-01,1445.0,1459.8799,1385.1419,1390.0,9113808
196,2018-02-02,1477.39,1498.0,1414.0,1429.95,11125722
197,2018-02-05,1402.62,1458.98,1320.72,1390.0,11494985
198,2018-02-06,1361.46,1443.99,1351.79,1442.84,11066819
199,2018-02-07,1449.0,1460.99,1415.15,1416.78,7162741
200,2018-02-08,1429.675,1433.7522,1349.94,1350.5,8578557
201,2018-02-09,1373.49,1383.5,1265.93,1339.6,14141524
202,2018-02-12,1364.67,1393.81,1344.01,1386.23,6738944
203,2018-02-13,1385.93,1419.72,1383.53,1414.51,5917879
204,2018-02-14,1406.25,1452.06,1403.36,1451.05,5959209
205,2018-02-15,1466.89,1468.94,1436.8367,1461.76,5652736
206,2018-02-16,1457.37,1465.8,1446.56,1448.69,4472564
207,2018-02-20,1446.49,1488.77,1446.49,1468.35,6499228
208,2018-02-21,1485.0,1503.49,1478.92,1482.92,6304351
209,2018-02-22,1495.36,1502.54,1475.76,1485.34,4858063
210,2018-02-23,1495.34,1500.0,1486.5,1500.0,4418103
211,2018-02-26,1509.2,1522.84,1507.0,1521.95,4954988
212,2018-02-27,1524.5,1526.78,1507.21,1511.98,4808776
213,2018-02-28,1519.51,1528.7,1512.0,1512.45,4515023
214,2018-03-01,1513.6,1518.49,1465.0,1493.45,6835230
215,2018-03-02,1469.1,1501.05,1455.0101,1500.25,6587564
216,2018-03-05,1494.24,1525.38,1481.0,1523.61,5233934
217,2018-03-06,1533.2,1542.13,1528.0,1537.64,4561718
218,2018-03-07,1526.52,1545.9,1522.51,1545.0,4174123
219,2018-03-08,1550.0,1554.88,1545.25,1551.86,3862615
220,2018-03-09,1563.5,1578.94,1559.08,1578.89,4534250
221,2018-03-12,1592.6,1605.33,1586.7,1598.39,5174211
222,2018-03-13,1615.96,1617.54,1578.01,1588.18,6531892
223,2018-03-14,1597.0,1606.444,1590.89,1591.0,4259443
224,2018-03-15,1595.0,1596.91,1578.11,1582.32,4069701
225,2018-03-16,1583.45,1589.44,1567.5,1571.68,5425012
226,2018-03-19,1554.53,1561.66,1525.35,1544.93,6580766
227,2018-03-20,1550.34,1587.0,1545.41,1586.51,4581568
228,2018-03-21,1586.45,1590.0,1563.17,1581.86,4750771
229,2018-03-22,1565.47,1573.85,1542.4,1544.92,6320551
230,2018-03-23,1539.01,1549.02,1495.36,1495.56,8006033
231,2018-03-26,1530.0,1556.99,1499.25,1555.86,5624700
232,2018-03-27,1572.4,1575.965,1482.32,1497.05,6999631
233,2018-03-28,1447.0,1455.9,1386.17,1431.42,13705317
234,2018-03-29,1406.0,1455.47,1365.2,1447.34,12581121
235,2018-04-02,1417.62,1421.358,1355.0,1371.99,10463607
236,2018-04-03,1391.38,1414.0,1355.33,1392.05,10231212
237,2018-04-04,1358.24,1415.39,1352.88,1410.57,6982305
238,2018-04-05,1441.99,1459.5575,1427.07,1451.75,6413459
239,2018-04-06,1429.97,1452.5020000000002,1400.26,1405.23,5882257
240,2018-04-09,1425.03,1438.48,1402.5710000000001,1406.08,4208206
241,2018-04-10,1431.99,1438.38,1415.7,1436.22,4280144
242,2018-04-11,1439.44,1448.7758,1424.89,1427.05,3582533
243,2018-04-12,1439.5,1452.12,1435.06,1448.5,3135027
244,2018-04-13,1449.136,1459.7808,1424.52,1430.79,3685267
245,2018-04-16,1445.0,1447.0,1427.48,1441.5,2808624
246,2018-04-17,1462.295,1507.19,1457.0219,1503.83,5114403
247,2018-04-18,1514.6501,1533.8,1504.11,1527.84,5227509
248,2018-04-19,1543.22,1568.52,1539.06,1556.91,6523728
249,2018-04-20,1561.1999,1561.1999,1516.0929999999998,1527.49,5541622
